label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.329068442,0.944306073,0,0,0,0,0
C100-C7_1,28258.003255,44486.926611,-222.043818,0.000000000,0.000000000,-0.329068360,0.944306102,0,0,0,0,0
C100-C7_2,28261.990278,44483.798370,-222.039574,0.000000000,0.000000000,-0.329068278,0.944306131,0,0,0,0,0
C100-C7_3,28265.977304,44480.670131,-222.035333,0.000000000,0.000000000,-0.329068195,0.944306160,0,0,0,0,0
C100-C7_4,28269.964333,44477.541894,-222.031096,0.000000000,0.000000000,-0.329068113,0.944306188,0,0,0,0,0
C100-C7_5,28273.951365,44474.413659,-222.026864,0.000000000,0.000000000,-0.329068030,0.944306217,0,0,0,0,0
C100-C7_6,28277.938400,44471.285425,-222.022635,0.000000000,0.000000000,-0.329067940,0.944306249,0,0,0,0,0
C100-C7_7,28281.925438,44468.157194,-222.018411,0.000000000,0.000000000,-0.329067857,0.944306277,0,0,0,0,0
C100-C7_8,28285.912478,44465.028964,-222.014190,0.000000000,0.000000000,-0.329067775,0.944306306,0,0,0,0,0
C100-C7_9,28289.899521,44461.900736,-222.009974,0.000000000,0.000000000,-0.329067693,0.944306335,0,0,0,0,0
C100-C7_10,28293.886567,44458.772509,-222.005762,0.000000000,0.000000000,-0.329067610,0.944306363,0,0,0,0,0
C100-C7_11,28297.873616,44455.644285,-222.001553,0.000000000,0.000000000,-0.329067528,0.944306392,0,0,0,0,0
C100-C7_12,28301.860668,44452.516062,-221.997349,0.000000000,0.000000000,-0.329067445,0.944306421,0,0,0,0,0
C7,28305.847723,44449.387841,-221.993149,0.000000000,0.000000000,-0.329067445,0.944306421,0,0,0,0,0
