label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C4,28260.924930,44442.475774,-221.745841,0.000000000,0.000000000,-0.673950417,0.738776580,0,0,0,0,0
C4-C5_1,28261.403712,44437.469046,-221.712960,0.000000000,0.000000000,-0.673950398,0.738776598,0,0,0,0,0
C4-C5_2,28261.882495,44432.462317,-221.680084,0.000000000,0.000000000,-0.673950378,0.738776616,0,0,0,0,0
C4-C5_3,28262.361279,44427.455589,-221.647211,0.000000000,0.000000000,-0.673950359,0.738776633,0,0,0,0,0
C4-C5_4,28262.840062,44422.448861,-221.614342,0.000000000,0.000000000,-0.673950340,0.738776651,0,0,0,0,0
C4-C5_5,28263.318847,44417.442132,-221.581478,0.000000000,0.000000000,-0.673950320,0.738776668,0,0,0,0,0
C4-C5_6,28263.797632,44412.435404,-221.548617,0.000000000,0.000000000,-0.673950301,0.738776686,0,0,0,0,0
C4-C5_7,28264.276417,44407.428676,-221.515760,0.000000000,0.000000000,-0.673950282,0.738776704,0,0,0,0,0
C4-C5_8,28264.755203,44402.421948,-221.482908,0.000000000,0.000000000,-0.673950262,0.738776721,0,0,0,0,0
C4-C5_9,28265.233989,44397.415220,-221.450059,0.000000000,0.000000000,-0.673950243,0.738776739,0,0,0,0,0
C4-C5_10,28265.712776,44392.408492,-221.417214,0.000000000,0.000000000,-0.673950224,0.738776757,0,0,0,0,0
C4-C5_11,28266.191564,44387.401764,-221.384373,0.000000000,0.000000000,-0.673950204,0.738776774,0,0,0,0,0
C4-C5_12,28266.670352,44382.395036,-221.351536,0.000000000,0.000000000,-0.673950185,0.738776792,0,0,0,0,0
C4-C5_13,28267.149140,44377.388308,-221.318704,0.000000000,0.000000000,-0.673950166,0.738776810,0,0,0,0,0
C4-C5_14,28267.627929,44372.381580,-221.285875,0.000000000,0.000000000,-0.673950146,0.738776827,0,0,0,0,0
C4-C5_15,28268.106719,44367.374852,-221.253050,0.000000000,0.000000000,-0.673950127,0.738776845,0,0,0,0,0
C4-C5_16,28268.585509,44362.368124,-221.220229,0.000000000,0.000000000,-0.673950107,0.738776863,0,0,0,0,0
C4-C5_17,28269.064299,44357.361397,-221.187412,0.000000000,0.000000000,-0.673950088,0.738776880,0,0,0,0,0
C4-C5_18,28269.543090,44352.354669,-221.154599,0.000000000,0.000000000,-0.673950069,0.738776898,0,0,0,0,0
C4-C5_19,28270.021882,44347.347941,-221.121790,0.000000000,0.000000000,-0.673950049,0.738776915,0,0,0,0,0
C4-C5_20,28270.500674,44342.341213,-221.088985,0.000000000,0.000000000,-0.673950030,0.738776933,0,0,0,0,0
C4-C5_21,28270.979466,44337.334486,-221.056184,0.000000000,0.000000000,-0.673950011,0.738776951,0,0,0,0,0
C5,28271.458259,44332.327758,-221.023387,0.000000000,0.000000000,-0.673950011,0.738776951,0,0,0,0,0
